"Employment income statistics by major field of study (detailed, 4-digit) and highest level of education: Canada, provinces and territories",,,,,,,
Frequency: Occasional,,,,,,,
Table: 98-10-0409-01,,,,,,,
Release date: 2023-10-04,,,,,,,
"Geography: Canada, Province or territory",,,,,,,
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data",,,,,,,
"Variable List: Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3), Age (15A), Highest certificate, diploma or degree (16), Work activity during the reference year (5), Income year (2), Employment income statistics (7)",,,,,,,
,,,,,,,
Geography,Canada i1,,,,,,
Gender (3) 1 2,Total - Gender,,,,,,
Age (15A) 3,Total - Age,,,,,,
"Highest certificate, diploma or degree (16) 4","Total - Highest certificate, diploma or degree 6",,,,,,
Work activity during the reference year (5) 5,Total - Work activity during the reference year 7,,,,,,
Income year (2),2020,,,,,,
Employment income statistics (7),Total - Employment income statistics 9 10 11 12,With employment income,Median employment income ($),Average employment income ($),"With wages, salaries and commissions","Median wages, salaries and commissions ($)","Average wages, salaries and commissions ($)"
Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 8,,,,,,,
"16.10 Indigenous languages, literatures, and linguistics of the Americas",510,375,"43,600","48,800",375,"42,400","48,400"
"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics","1,580",830,"14,500","26,300",650,"17,200","28,950"
"16.12 Classics and classical languages, literatures and linguistics",780,305,"23,400","40,800",255,"32,800","43,200"
"16.13 Celtic languages, literatures and linguistics",40,25,x,"24,000",20,x,"12,000"
"16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics",240,185,"32,400","38,800",160,"33,200","38,400"
"16.15 Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics",170,90,"14,700","20,400",55,"25,200","28,000"
16.16 Sign language,"2,340","1,875","36,000","38,080","1,670","37,600","38,920"
16.17 Second language learning,"2,985","1,855","31,400","37,880","1,610","36,400","41,120"
"16.18 Armenian languages, literatures, and linguistics",45,30,x,"24,000",20,x,"28,000"
"16.99 Indigenous and foreign languages, literatures and linguistics, other",940,580,"20,800","33,600",480,"24,000","37,200"
23. English language and literature/letters,"184,600","131,975","40,400","51,350","118,235","44,000","53,850"
"23.01 English language and literature, general","118,915","85,115","41,200","51,850","76,910","44,400","54,250"
23.13 English rhetoric and composition/writing studies,"8,680","7,040","35,200","42,680","6,175","38,400","45,040"
23.14 English literature,"56,390","39,515","40,000","52,050","34,875","44,400","54,700"
"23.99 English language and literature/letters, other",620,305,"17,600","29,000",270,"19,600","32,000"
"24. Liberal arts and sciences, general studies and humanities","316,055","240,980","30,000","43,040","221,365","32,000","44,320"
"24.01 Liberal arts and sciences, general studies and humanities","316,055","240,980","30,000","43,040","221,365","32,000","44,320"
30A Interdisciplinary humanities,"18,940","13,780","44,800","54,750","12,630","47,200","56,650"
30.13 Medieval and renaissance studies,700,580,"49,200","58,800",520,"52,400","61,000"
30.21 Holocaust and related studies,30,15,x,"32,000",15,x,"24,000"
30.22 Classical and ancient studies,"5,620","4,330","41,200","53,350","3,975","43,200","54,250"
30.29 Maritime studies,350,320,"90,000","86,000",305,"90,000","85,000"
30.45 History and language/literature,"10,780","7,370","45,200","55,100","6,745","48,400","57,450"
30.47 Linguistics and anthropology,195,140,"27,400","34,500",130,"32,000","34,500"
"30.51 Integrated philosophy, politics, and economics",115,105,"27,800","57,000",90,"51,600","62,000"
30.52 Digital humanities and textual studies,140,115,"23,400","31,200",115,"22,600","29,600"
30.53 Thanatology,"1,010",805,"46,400","51,100",735,"48,400","55,900"
38. Philosophy and religious studies,"57,745","42,190","42,000","56,300","37,750","45,200","58,250"
"38.00 Philosophy and religious studies, general","1,075",790,"42,400","49,800",715,"44,800","51,300"
"38.01 Philosophy, logic and ethics","35,165","26,110","44,800","62,150","23,345","48,000","63,950"
38.02 Religion/religious studies,"21,330","15,185","37,600","46,760","13,585","41,600","48,880"
"38.99 Philosophy and religious studies, other",175,115,"33,600","39,000",100,"36,000","44,000"
39. Theology and religious vocations,"77,505","56,030","39,600","44,680","50,125","42,800","46,920"
39.02 Bible/Biblical studies,"10,545","7,765","30,800","38,760","6,720","33,600","40,680"
39.03 Missions/missionary studies and missiology,685,460,"35,600","46,000",370,"38,800","49,800"
39.04 Religious education,"7,535","4,910","36,400","44,960","4,310","41,200","47,280"
39.05 Religious music and worship,720,560,"29,800","36,200",490,"30,400","36,600"
39.06 Theological and ministerial studies,"51,545","37,770","42,400","46,240","34,245","45,200","48,400"
39.07 Pastoral counselling and specialized ministries,"5,540","3,910","38,800","43,240","3,460","41,200","45,680"
39.08 Religious institution administration and law,270,175,"24,800","29,800",155,"34,000","32,000"
"39.99 Theology and religious vocations, other",665,485,"41,600","42,000",380,"47,600","47,200"
54. History,"108,930","82,300","50,000","63,200","75,875","52,800","64,900"
54.01 History,"108,930","82,300","50,000","63,200","75,875","52,800","64,900"
55. French language and literature/lettersCAN,"56,440","39,675","38,800","46,480","36,305","42,000","48,680"
"55.01 French language and literature, generalCAN","35,205","23,905","40,400","47,880","22,030","43,600","49,960"
55.13 French rhetoric and composition/writing studiesCAN,"2,195","1,650","35,200","41,120","1,465","40,400","43,280"
55.14 French literatureCAN,"18,640","13,885","36,800","45,000","12,590","40,000","47,360"
"55.99 French language and literature/letters, otherCAN",400,235,"21,600","29,600",220,"22,000","29,200"
Social and behavioural sciences and law,"2,016,120","1,620,290","44,800","60,600","1,480,225","46,800","60,650"
"05. Area, ethnic, cultural, gender, and group studies","29,435","23,515","42,800","50,480","21,735","45,200","52,200"
05.01 Area studies,"15,125","11,800","46,000","54,400","10,725","49,200","56,550"
"05.02 Ethnic, cultural minority, gender, and group studies","14,290","11,710","40,400","46,520","11,000","42,000","47,960"
"05.99 Area, ethnic, cultural, gender, and group studies, other",0,0,...,...,0,...,...
"09. Communication, journalism and related programs","233,400","199,720","46,400","54,200","183,975","48,400","55,800"
09.01 Communication and media studies,"114,770","99,905","46,800","54,900","92,940","48,400","56,200"
09.04 Journalism,"48,145","39,465","45,600","54,000","35,550","48,400","56,100"
"09.07 Radio, television and digital communication","17,135","14,120","43,200","52,600","12,835","46,000","54,450"
"09.09 Public relations, advertising and applied communication","48,485","42,180","46,800","53,950","39,025","48,800","55,550"
09.10 Publishing,"1,780","1,400","41,600","45,240","1,220","44,800","47,500"
"09.99 Communication, journalism and related programs, other","3,080","2,650","41,200","47,600","2,400","43,600","50,400"
19. Family and consumer sciences/human sciences,"344,145","266,650","31,800","35,280","246,470","33,600","36,440"
"19.01 Family and consumer sciences/human sciences, general","17,810","8,910","30,200","39,400","7,940","35,200","41,600"
19.02 Family and consumer sciences/human sciences business services,"2,525","2,120","47,200","54,700","2,005","50,400","56,500"
19.04 Family and consumer economics and related services,90,50,"26,200","34,000",40,"26,400","38,000"
"19.05 Foods, nutrition and related services","34,285","27,180","39,200","46,360","25,065","42,000","47,840"
19.06 Housing and human environments,"11,230","8,705","27,600","34,600","7,795","29,600","36,560"
"19.07 Human development, family studies and related services","245,085","201,420","31,600","33,520","187,675","33,200","34,440"
19.09 Apparel and textiles,"27,145","13,785","23,400","29,920","11,750","26,400","32,680"
19.10 Work and family studies,"1,865","1,235","41,600","54,300","1,170","42,400","56,200"
"19.99 Family and consumer sciences/human sciences, other","4,120","3,250","40,000","44,600","3,035","40,400","45,280"
22. Legal professions and studies,"325,785","262,285","54,400","86,000","230,140","55,200","79,400"
22.00 Non-professional legal studies,"6,070","5,250","41,600","49,720","4,970","43,600","49,720"
"22.01 Law (LLB, JD, BCL)","160,775","128,890","67,500","108,700","108,065","67,500","98,300"
22.02 Legal research and advanced professional studies (post-LLB/JD),"43,375","35,615","69,000","109,800","30,490","71,000","103,900"
22.03 Legal support services,"115,100","92,250","44,800","47,240","86,390","46,800","48,880"
"22.99 Legal professions and studies, other",460,280,"66,000","81,000",230,"66,500","86,000"
30B Interdisciplinary social and behavioural sciences,"49,855","40,245","43,600","52,450","37,655","45,600","53,750"
30.05 Peace studies and conflict resolution,"3,570","3,155","53,600","59,550","2,975","54,400","61,000"
30.11 Gerontology,"9,505","6,190","42,800","46,240","5,865","44,400","47,320"
30.14 Museology/museum studies,"3,295","2,740","42,800","45,360","2,525","45,200","47,120"
"30.15 Science, technology and society",170,160,"42,000","47,000",140,"44,000","50,000"
30.17 Behavioural sciences,"3,665","2,935","36,000","42,280","2,740","37,200","43,920"
30.20 International/globalization studies,"6,900","6,150","37,200","44,520","5,885","38,000","44,800"
30.23 Intercultural/multicultural and diversity studies,"1,035",855,"32,400","41,600",800,"38,000","43,300"
30.25 Cognitive science,"2,075","1,765","31,000","46,320","1,685","31,600","46,680"
30.26 Cultural studies/critical theory and analysis,"3,035","2,525","36,400","44,200","2,270","38,800","46,280"
30.28 Dispute resolution,"1,250","1,010","44,000","50,100",855,"50,800","55,700"
30.31 Human computer interaction,220,200,"66,000","74,000",195,"66,000","73,500"
30.33 Sustainability studies,"3,025","2,755","42,800","52,450","2,610","44,800","52,750"
30.34 Anthrozoology,25,20,x,"36,000",0,...,...
30.36 Cultural studies and comparative literature,55,50,"49,600","50,000",40,"49,600","54,000"
30.40 Economics and foreign language/literature,780,580,"44,400","75,600",495,"52,400","85,600"
30.44 Geography and environmental studies,"3,380","3,005","51,200","60,800","2,835","51,600","61,800"
30.46 History and political science,"7,870","6,165","57,200","71,300","5,720","59,600","72,900"
42. Psychology,"327,960","260,475","45,600","54,450","235,680","47,200","55,200"
"42.01 Psychology, general","259,430","205,125","44,000","53,750","185,995","46,000","54,550"
42.27 Research and experimental psychology,"17,425","12,740","44,000","52,050","11,760","46,400","53,900"
"42.28 Clinical, counselling and applied psychology","49,765","41,485","54,400","58,300","36,930","55,600","58,300"
"42.99 Psychology, other","1,345","1,130","54,400","70,200",990,"57,200","70,000"
45. Social sciences,"705,540","567,390","51,600","66,900","524,570","54,000","68,800"
45.01 General social sciences,"58,045","46,605","36,800","47,720","43,685","38,800","48,840"
45.02 Anthropology,"30,235","23,920","44,000","52,750","21,865","46,800","55,050"
45.03 Archaeology,"6,330","5,195","42,000","49,240","4,790","44,400","51,200"
45.04 Criminology,"65,010","58,780","53,600","59,550","56,815","54,800","60,200"
45.05 Demography,870,675,"61,600","60,300",625,"63,600","62,800"
45.06 Economics,"202,525","156,895","53,200","79,300","141,190","56,800","83,200"
45.07 Geography and cartography,"74,960","58,725","60,000","68,000","54,655","62,800","70,300"
45.09 International relations and national security studies,"18,185","15,440","51,600","66,800","14,395","54,800","68,800"
45.10 Political science and government,"126,455","103,900","55,200","72,700","95,845","58,000","73,700"
