"Labour force status by major field of study (detailed, 4-digit) and highest level of education: Canada, provinces and territories, census metropolitan areas and census agglomerations with parts",,,
Frequency: Occasional,,,
Table: 98-10-0401-01,,,
Release date: 2023-06-21,,,
"Geography: Canada, Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part",,,
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data",,,
"Variable List: Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Labour force status (8), Age (15A), Highest certificate, diploma or degree (16), Gender (3)",,,
,,,
Geography,Canada i1,,
Labour force status (8) 1,Total - Labour force status 4 5,,
Age (15A) 2,Total - Age,,
"Highest certificate, diploma or degree (16) 3","Total - Highest certificate, diploma or degree 6",,
Gender (3) 7 8,Total - Gender,Men+ 10,Women+ 11
05.01 Area studies,"15,125","4,680","10,445"
"05.02 Ethnic, cultural minority, gender, and group studies","14,295","2,380","11,915"
"05.99 Area, ethnic, cultural, gender, and group studies, other",15,0,10
"09. Communication, journalism and related programs","233,405","88,205","145,195"
09.01 Communication and media studies,"114,770","39,820","74,945"
09.04 Journalism,"48,140","20,155","27,990"
"09.07 Radio, television and digital communication","17,135","10,430","6,710"
"09.09 Public relations, advertising and applied communication","48,485","16,390","32,100"
09.10 Publishing,"1,785",385,"1,395"
"09.99 Communication, journalism and related programs, other","3,080","1,025","2,060"
19. Family and consumer sciences/human sciences,"344,145","27,905","316,245"
"19.01 Family and consumer sciences/human sciences, general","17,810","1,020","16,785"
19.02 Family and consumer sciences/human sciences business services,"2,520",520,"2,000"
19.04 Family and consumer economics and related services,85,0,85
"19.05 Foods, nutrition and related services","34,285","5,390","28,895"
19.06 Housing and human environments,"11,230","1,565","9,665"
"19.07 Human development, family studies and related services","245,085","13,585","231,500"
19.09 Apparel and textiles,"27,150","4,800","22,345"
19.10 Work and family studies,"1,865",155,"1,715"
"19.99 Family and consumer sciences/human sciences, other","4,115",860,"3,260"
22. Legal professions and studies,"325,780","115,335","210,450"
22.00 Non-professional legal studies,"6,070","1,975","4,095"
"22.01 Law (LLB, JD, BCL)","160,775","80,385","80,385"
22.02 Legal research and advanced professional studies (post-LLB/JD),"43,375","20,640","22,730"
22.03 Legal support services,"115,105","12,160","102,940"
"22.99 Legal professions and studies, other",460,170,290
30B Interdisciplinary social and behavioural sciences,"49,850","16,000","33,855"
30.05 Peace studies and conflict resolution,"3,565","1,200","2,370"
30.11 Gerontology,"9,505",930,"8,575"
30.14 Museology/museum studies,"3,300",560,"2,740"
"30.15 Science, technology and society",170,65,110
30.17 Behavioural sciences,"3,665",690,"2,970"
30.20 International/globalization studies,"6,895","2,165","4,735"
30.23 Intercultural/multicultural and diversity studies,"1,035",340,695
30.25 Cognitive science,"2,075",855,"1,220"
30.26 Cultural studies/critical theory and analysis,"3,040",960,"2,075"
30.28 Dispute resolution,"1,250",375,870
30.31 Human computer interaction,220,95,125
30.33 Sustainability studies,"3,025","1,025","2,000"
30.34 Anthrozoology,25,0,15
30.36 Cultural studies and comparative literature,55,10,45
30.40 Economics and foreign language/literature,780,290,490
30.44 Geography and environmental studies,"3,380","1,390","1,985"
30.46 History and political science,"7,870","5,040","2,830"
42. Psychology,"327,960","79,300","248,665"
"42.01 Psychology, general","259,430","65,320","194,110"
42.27 Research and experimental psychology,"17,425","3,665","13,760"
"42.28 Clinical, counselling and applied psychology","49,765","9,955","39,805"
"42.99 Psychology, other","1,345",355,985
45. Social sciences,"705,540","336,955","368,585"
45.01 General social sciences,"58,045","22,500","35,545"
45.02 Anthropology,"30,240","9,355","20,875"
45.03 Archaeology,"6,330","2,280","4,045"
45.04 Criminology,"65,010","28,235","36,775"
45.05 Demography,875,420,455
45.06 Economics,"202,525","115,835","86,685"
45.07 Geography and cartography,"74,960","44,890","30,075"
45.09 International relations and national security studies,"18,185","7,355","10,830"
45.10 Political science and government,"126,450","69,720","56,730"
45.11 Sociology,"111,990","32,365","79,625"
45.12 Urban studies/affairs,"2,800","1,545","1,250"
45.13 Sociology and anthropology,"2,885",850,"2,035"
45.15 Geography and anthropology,300,105,195
"45.99 Social sciences, other","4,955","1,495","3,460"
"Business, management and public administration","3,758,250","1,488,175","2,270,075"
30.16 Accounting and computer science,"5,335","1,705","3,630"
44. Public administration and social service professions,"272,240","56,000","216,245"
"44.00 Human services, general","51,815","8,095","43,725"
44.02 Community organization and advocacy,355,60,295
44.04 Public administration,"37,775","16,490","21,285"
44.05 Public policy analysis,"7,100","2,695","4,405"
44.07 Social work,"174,675","28,520","146,150"
"44.99 Public administration and social service professions, other",520,130,385
"52. Business, management, marketing and related support services","3,480,675","1,430,470","2,050,205"
"52.01 Business/commerce, general","621,190","333,860","287,330"
"52.02 Business administration, management and operations","848,065","414,495","433,575"
52.03 Accounting and related services,"635,775","236,310","399,465"
52.04 Business operations support and assistant services,"382,000","13,470","368,535"
52.05 Business/corporate communications,"2,965",990,"1,975"
52.06 Business/managerial economics,"22,670","13,650","9,020"
52.07 Entrepreneurial and small business operations,"13,070","6,920","6,155"
52.08 Finance and financial management services,"221,870","114,195","107,675"
52.09 Hospitality administration/management,"128,710","52,840","75,870"
52.10 Human resources management and services,"139,880","34,875","105,000"
52.11 International business/trade/commerce,"32,465","14,930","17,535"
52.12 Management information systems and services,"19,245","11,520","7,725"
52.13 Management sciences and quantitative methods,"16,105","9,330","6,780"
52.14 Marketing,"157,820","79,215","78,600"
52.15 Real estate,"62,365","32,410","29,960"
52.16 Taxation,"4,835","2,415","2,415"
52.17 Insurance,"37,775","14,865","22,910"
"52.18 General sales, merchandising and related marketing operations","31,595","17,070","14,520"
"52.19 Specialized sales, merchandising and marketing operations","90,625","17,975","72,650"
52.20 Construction management,"9,665","8,240","1,425"
52.21 Telecommunications management,190,100,85
"52.99 Business, management, marketing and related support services, other","1,790",795,"1,000"
Physical and life sciences and technologies,"719,720","353,545","366,175"
26. Biological and biomedical sciences,"297,050","121,615","175,440"
"26.01 Biology, general","122,640","48,380","74,260"
26.02 Biochemistry/biophysics and molecular biology,"45,040","20,610","24,430"
26.03 Botany/plant biology,"8,585","3,190","5,395"
26.04 Cell/cellular biology and anatomical sciences,"6,595","2,605","3,990"
26.05 Microbiological sciences and immunology,"26,590","10,090","16,505"
26.07 Zoology/animal biology,"12,580","5,165","7,420"
26.08 Genetics,"6,290","2,630","3,660"
"26.09 Physiology, pathology and related sciences","12,270","5,645","6,630"
26.10 Pharmacology and toxicology,"8,405","3,640","4,760"
"26.11 Biomathematics, bioinformatics, and computational biology","2,770","1,425","1,350"
26.12 Biotechnology,"12,510","4,325","8,185"
"26.13 Ecology, evolution, systematics and population biology","20,035","8,755","11,285"
26.14 Molecular medicine,510,175,335
26.15 Neurobiology and neurosciences,"12,190","4,965","7,225"
"26.99 Biological and biomedical sciences, other",35,25,10
30.01 Biological and physical sciences,"155,960","72,250","83,710"
30C Other interdisciplinary physical and life sciences,"35,380","14,950","20,430"
30.10 Biopsychology,"3,650",925,"2,730"
30.18 Natural sciences,"24,375","12,000","12,370"
30.19 Nutrition sciences,"3,620",445,"3,180"
30.27 Human biology,"1,955",650,"1,310"
30.32 Marine sciences,380,215,165
30.35 Climate science,530,290,240
30.38 Earth systems science,30,20,10
30.41 Environmental geosciences,550,285,260
30.42 Geoarchaeology,15,10,0
