Major field of study,Labour force status,Population,,Major Field of Study,Employed,Unemployed
51.37 Energy-based and biologically-based therapies,Total - Labour force status,"1,415",,,,
"51.38 Registered nursing, nursing administration, nursing research and clinical nursing",Total - Labour force status,"655,730",,,,
"51.39 Practical nursing, vocational nursing and nursing assistants",Total - Labour force status,"154,065",,,,
"51.99 Health professions and related programs, other",Total - Labour force status,960,,,,
"52. Business, management, marketing and related support services",Total - Labour force status,"3,480,675",,,,
"52.01 Business/commerce, general",Total - Labour force status,"621,190",,,,
"52.02 Business administration, management and operations",Total - Labour force status,"848,065",,,,
52.03 Accounting and related services,Total - Labour force status,"635,775",,,,
52.04 Business operations support and assistant services,Total - Labour force status,"382,000",,,,
52.05 Business/corporate communications,Total - Labour force status,"2,965",,,,
52.06 Business/managerial economics,Total - Labour force status,"22,670",,,,
52.07 Entrepreneurial and small business operations,Total - Labour force status,"13,070",,,,
52.08 Finance and financial management services,Total - Labour force status,"221,870",,,,
52.09 Hospitality administration/management,Total - Labour force status,"128,710",,,,
52.10 Human resources management and services,Total - Labour force status,"139,880",,,,
52.11 International business/trade/commerce,Total - Labour force status,"32,465",,,,
52.12 Management information systems and services,Total - Labour force status,"19,245",,,,
52.13 Management sciences and quantitative methods,Total - Labour force status,"16,105",,,,
52.14 Marketing,Total - Labour force status,"157,820",,,,
52.15 Real estate,Total - Labour force status,"62,365",,,,
52.16 Taxation,Total - Labour force status,"4,835",,,,
52.17 Insurance,Total - Labour force status,"37,775",,,,
"52.18 General sales, merchandising and related marketing operations",Total - Labour force status,"31,595",,,,
"52.19 Specialized sales, merchandising and marketing operations",Total - Labour force status,"90,625",,,,
52.20 Construction management,Total - Labour force status,"9,665",,,,
52.21 Telecommunications management,Total - Labour force status,190,,,,
"52.99 Business, management, marketing and related support services, other",Total - Labour force status,"1,790",,,,
54. History,Total - Labour force status,"108,935",,,,
54.01 History,Total - Labour force status,"108,935",,,,
55. French language and literature/lettersCAN,Total - Labour force status,"56,440",,,,
"55.01 French language and literature, generalCAN",Total - Labour force status,"35,205",,,,
55.13 French rhetoric and composition/writing studiesCAN,Total - Labour force status,"2,195",,,,
55.14 French literatureCAN,Total - Labour force status,"18,645",,,,
"55.99 French language and literature/letters, otherCAN",Total - Labour force status,400,,,,
60. Health professions residency/fellowship programs,Total - Labour force status,"5,255",,,,
60.01 Dental residency/fellowship programs,Total - Labour force status,"1,225",,,,
60.03 Veterinary residency/fellowship programs,Total - Labour force status,705,,,,
60.07 Nurse practitioner residency/fellowship programs,Total - Labour force status,"3,270",,,,
60.08 Pharmacy residency/fellowship programs,Total - Labour force status,50,,,,
60.09 Physician assistant residency/fellowship programs,Total - Labour force status,0,,,,
"60.99 Health professions residency/fellowship programs, other",Total - Labour force status,0,,,,
61. Medical residency/fellowship programs,Total - Labour force status,"64,025",,,,
61.01 Combined medical residency/fellowship programs,Total - Labour force status,930,,,,
61.02 Multiple-pathway medical fellowship programs,Total - Labour force status,755,,,,
61.03 Allergy and immunology residency/fellowship programs,Total - Labour force status,190,,,,
61.04 Anesthesiology residency/fellowship programs,Total - Labour force status,"3,430",,,,
61.05 Dermatology residency/fellowship programs,Total - Labour force status,785,,,,
61.06 Emergency medicine residency/fellowship programs,Total - Labour force status,"2,050",,,,
61.07 Family medicine residency/fellowship programs,Total - Labour force status,"18,835",,,,
61.08 Internal medicine residency/fellowship programs,Total - Labour force status,"7,910",,,,
61.09 Medical genetics and genomics residency/fellowship programs,Total - Labour force status,50,,,,
61.10 Neurological surgery residency/fellowship programs,Total - Labour force status,295,,,,
61.11 Neurology residency/fellowship programs,Total - Labour force status,"1,180",,,,
61.12 Nuclear medicine residency/fellowship programs,Total - Labour force status,115,,,,
61.13 Obstetrics and gynecology residency/fellowship programs,Total - Labour force status,"2,975",,,,
61.14 Ophthalmology residency/fellowship programs,Total - Labour force status,"1,585",,,,
61.15 Orthopedic surgery residency/fellowship programs,Total - Labour force status,"1,445",,,,
61.16 Osteopathic medicine residency/fellowship programs,Total - Labour force status,0,,,,
61.17 Otolaryngology residency/fellowship programs,Total - Labour force status,700,,,,
61.18 Pathology residency/fellowship programs,Total - Labour force status,"1,860",,,,
61.19 Pediatrics residency/fellowship programs,Total - Labour force status,"4,175",,,,
61.20 Physical medicine and rehabilitation residency/fellowship programs,Total - Labour force status,870,,,,
61.21 Plastic surgery residency/fellowship programs,Total - Labour force status,470,,,,
61.22 Podiatric medicine residency/fellowship programs,Total - Labour force status,15,,,,
61.23 Preventive medicine residency/fellowship programs,Total - Labour force status,525,,,,
61.24 Psychiatry residency/fellowship programs,Total - Labour force status,"4,575",,,,
61.25 Radiation oncology residency/fellowship programs,Total - Labour force status,270,,,,
61.26 Radiology residency/fellowship programs,Total - Labour force status,"2,700",,,,
61.27 Surgery residency/fellowship programs,Total - Labour force status,"4,360",,,,
61.28 Urology residency/fellowship programs,Total - Labour force status,590,,,,
"61.99 Medical residency/fellowship programs, other",Total - Labour force status,390,,,,
"Agriculture, natural resources and conservation",Total - Labour force status,"407,540",,,,
"Architecture, engineering, and related trades",Total - Labour force status,"3,506,120",,,,
"Business, management and public administration",Total - Labour force status,"3,758,250",,,,
Education,Total - Labour force status,"1,113,015",,,,
Health and related fields,Total - Labour force status,"2,444,500",,,,
Humanities,Total - Labour force status,"926,560",,,,
"Mathematics, computer and information sciences",Total - Labour force status,"804,230",,,,
"No postsecondary certificate, diploma or degree",Total - Labour force status,"12,996,875",,,,
Other,Total - Labour force status,"5,300",,,,
"Personal, protective and transportation services",Total - Labour force status,"1,006,425",,,,
Physical and life sciences and technologies,Total - Labour force status,"719,720",,,,
Social and behavioural sciences and law,Total - Labour force status,"2,016,125",,,,
"Visual and performing arts, and communications technologies",Total - Labour force status,"631,255",,,,
