Major field of study,Labour force status,Population,,Major Field of Study,Employed,Unemployed
14.01 General engineering,Total - Labour force status,"199,280",,,,
"14.02 Aerospace, aeronautical and astronautical/space engineering",Total - Labour force status,"12,725",,,,
14.03 Agricultural engineering,Total - Labour force status,"6,845",,,,
14.04 Architectural engineering,Total - Labour force status,"2,685",,,,
14.05 Biomedical/medical engineering,Total - Labour force status,"7,555",,,,
14.06 Ceramic sciences and engineering,Total - Labour force status,120,,,,
14.07 Chemical engineering,Total - Labour force status,"45,520",,,,
14.08 Civil engineering,Total - Labour force status,"110,500",,,,
14.09 Computer engineering,Total - Labour force status,"70,175",,,,
"14.10 Electrical, electronics and communications engineering",Total - Labour force status,"156,365",,,,
14.11 Engineering mechanics,Total - Labour force status,485,,,,
14.12 Engineering physics/applied physics,Total - Labour force status,"5,475",,,,
14.13 Engineering science,Total - Labour force status,"1,805",,,,
14.14 Environmental/environmental health engineering,Total - Labour force status,"7,955",,,,
14.18 Materials engineering,Total - Labour force status,"5,560",,,,
14.19 Mechanical engineering,Total - Labour force status,"140,890",,,,
14.20 Metallurgical engineering,Total - Labour force status,"2,945",,,,
14.21 Mining and mineral engineering,Total - Labour force status,"6,160",,,,
14.22 Naval architecture and marine engineering,Total - Labour force status,"4,745",,,,
14.23 Nuclear engineering,Total - Labour force status,"1,455",,,,
14.24 Ocean engineering,Total - Labour force status,95,,,,
14.25 Petroleum engineering,Total - Labour force status,"5,955",,,,
14.27 Systems engineering,Total - Labour force status,"3,550",,,,
14.28 Textile sciences and engineering,Total - Labour force status,"1,375",,,,
14.32 Polymer/plastics engineering,Total - Labour force status,545,,,,
14.33 Construction engineering,Total - Labour force status,"12,470",,,,
14.34 Forest engineering,Total - Labour force status,"2,545",,,,
14.35 Industrial engineering,Total - Labour force status,"23,010",,,,
14.36 Manufacturing engineering,Total - Labour force status,"3,890",,,,
14.37 Operations research,Total - Labour force status,"1,385",,,,
14.38 Surveying engineering,Total - Labour force status,"4,750",,,,
14.39 Geological/geophysical engineering,Total - Labour force status,"3,775",,,,
14.40 Paper science and engineering,Total - Labour force status,150,,,,
14.41 Electromechanical engineering,Total - Labour force status,"2,495",,,,
"14.42 Mechatronics, robotics, and automation engineering",Total - Labour force status,"6,765",,,,
14.43 Biochemical engineering,Total - Labour force status,830,,,,
14.44 Engineering chemistry,Total - Labour force status,"1,415",,,,
14.45 Biological/biosystems engineering,Total - Labour force status,"1,315",,,,
14.47 Electrical and computer engineering,Total - Labour force status,"8,150",,,,
14.48 Energy systems engineering,Total - Labour force status,"6,005",,,,
"14.99 Engineering, other",Total - Labour force status,"20,770",,,,
15. Engineering/engineering-related technologies/technicians,Total - Labour force status,"726,155",,,,
15.00 General engineering technologies/technicians,Total - Labour force status,"44,215",,,,
15.01 Architectural engineering technology/technician,Total - Labour force status,"1,805",,,,
15.02 Civil engineering technology/technician,Total - Labour force status,"52,935",,,,
15.03 Electrical/electronic engineering technologies/technicians,Total - Labour force status,"190,290",,,,
15.04 Electromechanical technologies/technicians,Total - Labour force status,"52,385",,,,
15.05 Environmental control technologies/technicians,Total - Labour force status,"22,475",,,,
15.06 Industrial production technologies/technicians,Total - Labour force status,"27,680",,,,
15.07 Quality control and safety technologies/technicians,Total - Labour force status,"28,940",,,,
15.08 Mechanical engineering related technologies/technicians,Total - Labour force status,"72,380",,,,
15.09 Mining and petroleum technologies/technicians,Total - Labour force status,"34,890",,,,
15.10 Construction engineering technology/technician,Total - Labour force status,"7,615",,,,
15.11 Engineering-related technologies/technicians,Total - Labour force status,"12,920",,,,
15.12 Computer engineering technologies/technicians,Total - Labour force status,"59,330",,,,
15.13 Drafting/design engineering technologies/technicians,Total - Labour force status,"44,500",,,,
15.14 Nuclear engineering technology/technician,Total - Labour force status,40,,,,
15.15 Engineering-related fields,Total - Labour force status,"5,600",,,,
15.16 Nanotechnology,Total - Labour force status,"1,010",,,,
15.17 Energy systems technologies/technicians,Total - Labour force status,"56,280",,,,
"15.99 Engineering/engineering-related technologies/technicians, other",Total - Labour force status,"10,870",,,,
"16. Indigenous and foreign languages, literatures, and linguistics",Total - Labour force status,"106,345",,,,
"16.01 Linguistic, comparative and related language studies and services",Total - Labour force status,"72,325",,,,
"16.02 African languages, literatures and linguistics",Total - Labour force status,55,,,,
"16.03 East Asian languages, literatures and linguistics",Total - Labour force status,"7,850",,,,
"16.04 Slavic, Baltic and Albanian languages, literatures and linguistics",Total - Labour force status,"2,305",,,,
"16.05 Germanic languages, literatures and linguistics",Total - Labour force status,"3,515",,,,
16.06 Modern Greek language and literature,Total - Labour force status,70,,,,
"16.07 South Asian languages, literatures and linguistics",Total - Labour force status,"4,950",,,,
"16.08 Iranian languages, literatures and linguistics",Total - Labour force status,485,,,,
"16.09 Romance languages, literatures and linguistics",Total - Labour force status,"5,160",,,,
"16.10 Indigenous languages, literatures, and linguistics of the Americas",Total - Labour force status,510,,,,
"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics",Total - Labour force status,"1,580",,,,
"16.12 Classics and classical languages, literatures and linguistics",Total - Labour force status,780,,,,
"16.13 Celtic languages, literatures and linguistics",Total - Labour force status,40,,,,
"16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics",Total - Labour force status,240,,,,
"16.15 Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics",Total - Labour force status,175,,,,
16.16 Sign language,Total - Labour force status,"2,340",,,,
16.17 Second language learning,Total - Labour force status,"2,980",,,,
"16.18 Armenian languages, literatures, and linguistics",Total - Labour force status,45,,,,
"16.99 Indigenous and foreign languages, literatures and linguistics, other",Total - Labour force status,940,,,,
19. Family and consumer sciences/human sciences,Total - Labour force status,"344,145",,,,
"19.01 Family and consumer sciences/human sciences, general",Total - Labour force status,"17,810",,,,
19.02 Family and consumer sciences/human sciences business services,Total - Labour force status,"2,520",,,,
19.04 Family and consumer economics and related services,Total - Labour force status,85,,,,
